"participant","sex","include","time","sets","leg","exercise","load"
"FP4","female","excl","week5","single","L","legext",60
"FP4","female","excl","week9","multiple","R","legpress",270
"FP4","female","excl","week9","single","L","legpress",NA
"FP4","female","excl","week9","multiple","R","legext",80
"FP4","female","excl","week9","single","L","legext",NA
"FP4","female","excl","post","multiple","R","legpress",205
"FP4","female","excl","post","single","L","legpress",NA
"FP4","female","excl","post","multiple","R","legext",80
"FP4","female","excl","post","single","L","legext",NA
"FP6","female","incl","pre","single","R","legpress",100
"FP6","female","incl","pre","multiple","L","legpress",90
"FP6","female","incl","pre","single","R","legext",35
"FP6","female","incl","pre","multiple","L","legext",35
"FP6","female","incl","session1","single","R","legpress",110
"FP6","female","incl","session1","multiple","L","legpress",100
"FP6","female","incl","session1","single","R","legext",40
"FP6","female","incl","session1","multiple","L","legext",35
"FP6","female","incl","week2","single","R","legpress",125
"FP6","female","incl","week2","multiple","L","legpress",110
"FP6","female","incl","week2","single","R","legext",40
"FP6","female","incl","week2","multiple","L","legext",35
"FP6","female","incl","week5","single","R","legpress",150
"FP6","female","incl","week5","multiple","L","legpress",125
"FP6","female","incl","week5","single","R","legext",45
"FP6","female","incl","week5","multiple","L","legext",42.5
"FP6","female","incl","week9","single","R","legpress",165
"FP6","female","incl","week9","multiple","L","legpress",160
"FP6","female","incl","week9","single","R","legext",47.5
"FP6","female","incl","week9","multiple","L","legext",45
"FP6","female","incl","post","single","R","legpress",165
"FP6","female","incl","post","multiple","L","legpress",NA
"FP6","female","incl","post","single","R","legext",50
"FP6","female","incl","post","multiple","L","legext",47.5
"FP5","male","incl","pre","multiple","R","legpress",190
"FP5","male","incl","pre","single","L","legpress",170
"FP5","male","incl","pre","multiple","R","legext",75
"FP5","male","incl","pre","single","L","legext",65
"FP5","male","incl","session1","multiple","R","legpress",210
"FP5","male","incl","session1","single","L","legpress",190
"FP5","male","incl","session1","multiple","R","legext",75
"FP5","male","incl","session1","single","L","legext",70
"FP5","male","incl","week2","multiple","R","legpress",220
"FP5","male","incl","week2","single","L","legpress",190
"FP5","male","incl","week2","multiple","R","legext",80
"FP5","male","incl","week2","single","L","legext",75
"FP5","male","incl","week5","multiple","R","legpress",255
"FP5","male","incl","week5","single","L","legpress",205
"FP5","male","incl","week5","multiple","R","legext",95
"FP5","male","incl","week5","single","L","legext",95
"FP5","male","incl","week9","multiple","R","legpress",280
"FP5","male","incl","week9","single","L","legpress",NA
"FP5","male","incl","week9","multiple","R","legext",120
"FP5","male","incl","week9","single","L","legext",102.5
"FP5","male","incl","post","multiple","R","legpress",315
"FP5","male","incl","post","single","L","legpress",NA
"FP5","male","incl","post","multiple","R","legext",125
"FP5","male","incl","post","single","L","legext",115
"FP7","male","incl","pre","single","R","legpress",265
"FP7","male","incl","pre","multiple","L","legpress",270
"FP7","male","incl","pre","single","R","legext",85
"FP7","male","incl","pre","multiple","L","legext",85
"FP7","male","incl","session1","single","R","legpress",265
"FP7","male","incl","session1","multiple","L","legpress",275
"FP7","male","incl","session1","single","R","legext",85
"FP7","male","incl","session1","multiple","L","legext",90
"FP7","male","incl","week2","single","R","legpress",295
"FP7","male","incl","week2","multiple","L","legpress",300
"FP7","male","incl","week2","single","R","legext",100
"FP7","male","incl","week2","multiple","L","legext",110
"FP7","male","incl","week5","single","R","legpress",305
"FP7","male","incl","week5","multiple","L","legpress",325
"FP7","male","incl","week5","single","R","legext",115
"FP7","male","incl","week5","multiple","L","legext",120
"FP7","male","incl","week9","single","R","legpress",335
"FP7","male","incl","week9","multiple","L","legpress",360
"FP7","male","incl","week9","single","R","legext",135
"FP7","male","incl","week9","multiple","L","legext",135
"FP7","male","incl","post","single","R","legpress",355
"FP7","male","incl","post","multiple","L","legpress",370
"FP7","male","incl","post","single","R","legext",135
"FP7","male","incl","post","multiple","L","legext",155
"FP3","male","excl","pre","single","R","legpress",140
"FP3","male","excl","pre","multiple","L","legpress",137.5
"FP3","male","excl","pre","single","R","legext",80
"FP3","male","excl","pre","multiple","L","legext",60
"FP3","male","excl","session1","single","R","legpress",165
"FP3","male","excl","session1","multiple","L","legpress",155
"FP3","male","excl","session1","single","R","legext",85
"FP3","male","excl","session1","multiple","L","legext",65
"FP3","male","excl","week2","single","R","legpress",175
"FP3","male","excl","week2","multiple","L","legpress",170
"FP3","male","excl","week2","single","R","legext",85
"FP3","male","excl","week2","multiple","L","legext",75
"FP3","male","excl","week5","single","R","legpress",NA
"FP3","male","excl","week5","multiple","L","legpress",NA
"FP3","male","excl","week5","single","R","legext",NA
"FP3","male","excl","week5","multiple","L","legext",NA
"FP3","male","excl","week9","single","R","legpress",NA
"FP3","male","excl","week9","multiple","L","legpress",NA
"FP3","male","excl","week9","single","R","legext",NA
"FP3","male","excl","week9","multiple","L","legext",NA
"FP3","male","excl","post","single","R","legpress",NA
"FP3","male","excl","post","multiple","L","legpress",NA
"FP3","male","excl","post","single","R","legext",NA
"FP3","male","excl","post","multiple","L","legext",NA
"FP8","female","excl","pre","multiple","R","legpress",85
"FP8","female","excl","pre","single","L","legpress",90
"FP8","female","excl","pre","multiple","R","legext",50
"FP8","female","excl","pre","single","L","legext",50
"FP8","female","excl","session1","multiple","R","legpress",100
"FP8","female","excl","session1","single","L","legpress",100
"FP8","female","excl","session1","multiple","R","legext",55
"FP8","female","excl","session1","single","L","legext",50
"FP8","female","excl","week2","multiple","R","legpress",160
"FP8","female","excl","week2","single","L","legpress",140
"FP8","female","excl","week2","multiple","R","legext",67.5
"FP8","female","excl","week2","single","L","legext",60
"FP8","female","excl","week5","multiple","R","legpress",180
"FP8","female","excl","week5","single","L","legpress",150
"FP8","female","excl","week5","multiple","R","legext",75
"FP8","female","excl","week5","single","L","legext",65
"FP8","female","excl","week9","multiple","R","legpress",200
"FP8","female","excl","week9","single","L","legpress",175
"FP8","female","excl","week9","multiple","R","legext",85
"FP8","female","excl","week9","single","L","legext",75
"FP8","female","excl","post","multiple","R","legpress",NA
"FP8","female","excl","post","single","L","legpress",NA
"FP8","female","excl","post","multiple","R","legext",NA
"FP8","female","excl","post","single","L","legext",NA
"FP15","male","incl","pre","multiple","R","legpress",145
"FP15","male","incl","pre","single","L","legpress",140
"FP15","male","incl","pre","multiple","R","legext",65
"FP15","male","incl","pre","single","L","legext",65
"FP15","male","incl","session1","multiple","R","legpress",140
"FP15","male","incl","session1","single","L","legpress",140
"FP15","male","incl","session1","multiple","R","legext",80
"FP15","male","incl","session1","single","L","legext",80
"FP15","male","incl","week2","multiple","R","legpress",175
"FP15","male","incl","week2","single","L","legpress",180
"FP15","male","incl","week2","multiple","R","legext",87.5
"FP15","male","incl","week2","single","L","legext",87.5
"FP15","male","incl","week5","multiple","R","legpress",215
"FP15","male","incl","week5","single","L","legpress",215
"FP15","male","incl","week5","multiple","R","legext",95
"FP15","male","incl","week5","single","L","legext",95
"FP15","male","incl","week9","multiple","R","legpress",NA
"FP15","male","incl","week9","single","L","legpress",NA
"FP15","male","incl","week9","multiple","R","legext",NA
"FP15","male","incl","week9","single","L","legext",NA
"FP15","male","incl","post","multiple","R","legpress",220
"FP15","male","incl","post","single","L","legpress",215
"FP15","male","incl","post","multiple","R","legext",105
"FP15","male","incl","post","single","L","legext",97.5
"FP24","female","incl","pre","single","R","legpress",190
"FP24","female","incl","pre","multiple","L","legpress",175
"FP24","female","incl","pre","single","R","legext",50
"FP24","female","incl","pre","multiple","L","legext",50
"FP24","female","incl","session1","single","R","legpress",215
"FP24","female","incl","session1","multiple","L","legpress",200
"FP24","female","incl","session1","single","R","legext",52.5
"FP24","female","incl","session1","multiple","L","legext",52.5
"FP24","female","incl","week2","single","R","legpress",240
"FP24","female","incl","week2","multiple","L","legpress",230
